theta_hat,boot_mean,boot_sd,ci2.5,ci97.5
1.521837592124938965e+00,1.530011711120605522e+00,7.605822156054124761e-02,1.375169020891189531e+00,1.668960520625114352e+00
3.691607713699340820e-01,3.466141343116760365e-01,3.218204727606552989e-02,2.792763337492942810e-01,3.950443215668201224e-01
1.443010449409484863e+00,1.407757320404052770e+00,9.044174644891479764e-02,1.248072600364685147e+00,1.578258424997329712e+00
1.009679794311523438e+00,1.057804303169250559e+00,8.909859600676145464e-02,9.084012374281883462e-01,1.243977594375610174e+00
